time/total_timesteps,train/explained_variance,train/learning_rate,time/fps,train/n_updates,train/entropy_loss,train/value_loss,time/time_elapsed,time/iterations,train/policy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
500,-0.05194735527038574,0.0007,530,99,-0.6267555356025696,0.03186969459056854,0,100,-0.08339537680149078,,
1000,0.7003135979175568,0.0007,564,199,-0.46432915329933167,5.178293213248253e-05,1,200,0.0012103578774258494,,
1500,-6.41734504699707,0.0007,559,299,-0.3727922737598419,0.00013947930710855871,2,300,-0.004474305547773838,,
2000,-10.580591201782227,0.0007,558,399,-0.5920706987380981,7.782412285450846e-05,3,400,-0.0014338013716042042,,
2500,0.2022915482521057,0.0007,530,499,-0.6365623474121094,1.4507163541566115e-05,4,500,-0.0022634794004261494,2500.0,63.329906
3000,-0.07724297046661377,0.0007,552,599,-0.6788088083267212,0.0020544598810374737,5,600,0.030859041959047318,2500.0,63.329906
3500,-0.15386152267456055,0.0007,574,699,-0.9580171704292297,7.757813727948815e-05,6,700,0.006738139782100916,2500.0,63.329906
4000,0.17908376455307007,0.0007,590,799,-1.0828917026519775,0.00047837066813372076,6,800,0.020381862297654152,2500.0,63.329906
4500,0.20260089635849,0.0007,587,899,-0.6310144662857056,6.731829489581287e-05,7,900,0.0038462511729449034,2500.0,63.329906
5000,0.06319254636764526,0.0007,584,999,-0.5138242840766907,9.455253166379407e-05,8,1000,0.0018868613988161087,2500.0,33.342279500000004
5500,-0.00638270378112793,0.0007,596,1099,-0.7411707639694214,0.0037964663933962584,9,1100,0.03775833547115326,2500.0,33.342279500000004
6000,-11.697993278503418,0.0007,604,1199,-1.0949585437774658,0.0034983311779797077,9,1200,-0.051467835903167725,2500.0,33.342279500000004
6500,-0.9812856912612915,0.0007,610,1299,-1.0907604694366455,0.0005258956225588918,10,1300,-0.023082396015524864,2500.0,33.342279500000004
7000,-5.333329677581787,0.0007,612,1399,-1.094643235206604,0.000566949718631804,11,1400,-0.002924270462244749,2500.0,33.342279500000004
7500,-371.2548828125,0.0007,607,1499,-1.0902031660079956,6.324758487608051e-06,12,1500,-0.0015782961854711175,2500.0,-13.468426333333332
8000,-0.146195650100708,0.0007,616,1599,-1.0793553590774536,0.0013278524857014418,12,1600,0.031486526131629944,2500.0,-13.468426333333332
8500,0.3048103451728821,0.0007,621,1699,-1.0863372087478638,3.139222098980099e-05,13,1700,-0.004614236298948526,2500.0,-13.468426333333332
9000,0.3466304540634155,0.0007,627,1799,-0.7633861899375916,5.873731424799189e-05,14,1800,-0.0059211039915680885,2500.0,-13.468426333333332
9500,0.36580318212509155,0.0007,629,1899,-0.6912368535995483,0.0005607187049463391,15,1900,-0.020467359572649002,2500.0,-13.468426333333332
10000,-0.8607262372970581,0.0007,627,1999,-0.7012516260147095,5.140159555594437e-05,15,2000,-0.0033505279570817947,2500.0,-27.240208999999997
10500,0.06356018781661987,0.0007,629,2099,-0.5636792778968811,6.639526691287756e-05,16,2100,-0.0020447145216166973,2500.0,-27.240208999999997
11000,-0.16815471649169922,0.0007,628,2199,-0.6846057772636414,0.00011838144564535469,17,2200,0.008752124384045601,2500.0,-27.240208999999997
11500,-7.8221940994262695,0.0007,628,2299,-0.7012627124786377,1.2517183677118737e-05,18,2300,0.0008013647166080773,2500.0,-27.240208999999997
12000,-157.46218872070312,0.0007,624,2399,-0.5724015831947327,5.151237564859912e-05,19,2400,-0.0033910851925611496,2500.0,-27.240208999999997
12500,0.47018009424209595,0.0007,619,2499,-0.699251115322113,6.999849574640393e-05,20,2500,0.005511401686817408,2500.0,-11.765166199999998
13000,0.4377700090408325,0.0007,620,2599,-0.6789416074752808,0.0007579494267702103,20,2600,0.01623600348830223,2500.0,-11.765166199999998
13500,-81.45289611816406,0.0007,622,2699,-0.6998668313026428,2.1361690869525773e-06,21,2700,-0.0005781342624686658,2500.0,-11.765166199999998
14000,-1692.7608642578125,0.0007,621,2799,-0.8150492906570435,0.02135918289422989,22,2800,-0.11423482745885849,2500.0,-11.765166199999998
14500,-0.6275599002838135,0.0007,620,2899,-0.6376551985740662,0.0003519304154906422,23,2900,-0.012287499383091927,2500.0,-11.765166199999998
15000,0.37594687938690186,0.0007,618,2999,-0.8239704966545105,8.022200859159057e-07,24,3000,-0.0005133099039085209,2500.0,-7.976040666666665
15500,-8.814262390136719,0.0007,620,3099,-1.067086935043335,0.00020042834512423724,24,3100,0.010650981217622757,2500.0,-7.976040666666665
16000,-2.595769166946411,0.0007,622,3199,-1.0507266521453857,8.292231359519064e-05,25,3200,0.0017139443662017584,2500.0,-7.976040666666665
16500,-1.5761020183563232,0.0007,624,3299,-0.9720171093940735,0.0006133587448857725,26,3300,0.033665090799331665,2500.0,-7.976040666666665
17000,0.16874104738235474,0.0007,626,3399,-1.0364859104156494,0.00043405918404459953,27,3400,0.020227709785103798,2500.0,-7.976040666666665
17500,-2.8756773471832275,0.0007,626,3499,-0.9586866497993469,2.9255661502247676e-06,27,3500,0.0010543421376496553,2500.0,-22.614430857142857
18000,0.06759011745452881,0.0007,630,3599,-0.7392381429672241,0.0006915847188793123,28,3600,-0.017322534695267677,2500.0,-22.614430857142857
18500,-0.06945085525512695,0.0007,632,3699,-0.7224031090736389,1.050669470714638e-05,29,3700,-0.002115668496116996,2500.0,-22.614430857142857
19000,-17.794435501098633,0.0007,632,3799,-0.7558809518814087,6.30974773230264e-06,30,3800,0.0019298975821584463,2500.0,-22.614430857142857
19500,-2.4930877685546875,0.0007,632,3899,-0.6968869566917419,8.737675671000034e-05,30,3900,-0.005481516011059284,2500.0,-22.614430857142857
20000,-0.3233821392059326,0.0007,631,3999,-0.7316981554031372,1.719169995340053e-05,31,4000,-0.0018258856143802404,2500.0,-9.915613125
20500,-0.006397843360900879,0.0007,633,4099,-0.5452820658683777,0.0081457095220685,32,4100,0.01448819600045681,2500.0,-9.915613125
21000,0.15540653467178345,0.0007,635,4199,-0.41110149025917053,0.02259669080376625,33,4200,0.08220073580741882,2500.0,-9.915613125
21500,0.3237916827201843,0.0007,637,4299,-0.2944914698600769,0.0009546693181619048,33,4300,0.0021835658699274063,2500.0,-9.915613125
22000,-1.079477071762085,0.0007,637,4399,-0.2579386234283447,2.3416027033817954e-05,34,4400,-0.0002532752987463027,2500.0,-9.915613125
22500,-2.8393139839172363,0.0007,636,4499,-0.23672866821289062,2.1461305550474208e-06,35,4500,-6.447258783737198e-05,2500.0,-7.893269888888889
23000,-2.8781332969665527,0.0007,639,4599,-0.15238051116466522,1.2373360732453875e-05,35,4600,7.759574509691447e-05,2500.0,-7.893269888888889
23500,0.3874099850654602,0.0007,639,4699,-0.09525179862976074,8.982756844488904e-05,36,4700,0.0001531737216282636,2500.0,-7.893269888888889
24000,-0.1558758020401001,0.0007,638,4799,-0.05636254698038101,0.000807250093203038,37,4800,0.00023234747641254216,2500.0,-7.893269888888889
24500,-0.13265907764434814,0.0007,638,4899,-0.05807722359895706,6.421864236472175e-05,38,4900,7.01874669175595e-05,2500.0,-7.893269888888889
25000,-286.70794677734375,0.0007,636,4999,-0.2567377984523773,0.03852911293506622,39,5000,0.00024328257131855935,2500.0,-18.0483343
25500,0.15361016988754272,0.0007,638,5099,-0.1055707111954689,6.792745261918753e-05,39,5100,-0.00015381415141746402,2500.0,-18.0483343
26000,-1.8820428848266602,0.0007,637,5199,-0.3356536328792572,1.8675520550459623e-05,40,5200,-0.00023560365661978722,2500.0,-18.0483343
26500,-401441.0625,0.0007,636,5299,-0.6998264193534851,0.05248534679412842,41,5300,0.09250064194202423,2500.0,-18.0483343
27000,-193.096435546875,0.0007,633,5399,-0.7609460949897766,0.004308574832975864,42,5400,-0.02995181642472744,2500.0,-18.0483343
27500,-2.4679367542266846,0.0007,634,5499,-0.6764031648635864,5.6266329920617864e-05,43,5500,0.0034971199929714203,2500.0,-26.29609436363636
28000,0.1499895453453064,0.0007,636,5599,-0.5020571947097778,0.008795096538960934,43,5600,-0.018942374736070633,2500.0,-26.29609436363636
28500,-0.6154947280883789,0.0007,636,5699,-0.6974824070930481,4.417968011694029e-05,44,5700,0.0030345642007887363,2500.0,-26.29609436363636
29000,0.05084770917892456,0.0007,636,5799,-0.6988793611526489,6.33367890259251e-05,45,5800,0.004968184977769852,2500.0,-26.29609436363636
29500,0.32922792434692383,0.0007,636,5899,-0.6971505880355835,1.8926590428236523e-06,46,5900,-0.0008455085335299373,2500.0,-26.29609436363636
30000,-2.474238395690918,0.0007,636,5999,-0.6588836908340454,1.3786045201413799e-05,47,6000,0.0021566685754805803,2500.0,-24.918349749999994
